"Arvore de Busca","Arquivo","Tempo De Execução","Altura","Quantidade de Rotações"
"RedBlack","1MCrescente","0.0813042","38","999963"
"RedBlack","1MDecrescente","0.0690299","38","999963"
"RedBlack","1MDesordenado","0.3178714","28","1035491"
"RedBlack","1MDesordenado10Finais","0.1060875","38","958181"
"RedBlack","1MDesordenado10Iniciais","0.0759656","38","958276"
"RedBlack","2MCrescente","0.1453363","40","1999961"
"RedBlack","2MDecrescente","0.1155206","40","1999961"
"RedBlack","2MDesordenado","0.6031164","31","2099384"
"RedBlack","2MDesordenado10Finais","0.1641313","40","1916259"
"RedBlack","2MDesordenado10Iniciais","0.1579238","40","1916535"
"RedBlack","3MCrescente","0.2364185","41","2999960"
"RedBlack","3MDecrescente","0.1896957","41","2999960"
"RedBlack","3MDesordenado","1.0379468","32","3148044"
"RedBlack","3MDesordenado10Finais","0.3848641","41","2875114"
"RedBlack","3MDesordenado10Iniciais","0.2575935","41","2875282"
